"Title"	"Year"	"Genres"	"Language"	"Country"	"Content Rating"	"Duration"	"Aspect Ratio"	"Budget"	"Gross Earnings"	"Director"	"Actor 1"	"Actor 2"	"Actor 3"	"Facebook Likes - Director"	"Facebook Likes - Actor 1"	"Facebook Likes - Actor 2"	"Facebook Likes - Actor 3"	"Facebook Likes - cast Total"	"Facebook likes - Movie"	"Facenumber in posters"	"User Votes"	"Reviews by Users"	"Reviews by Crtiics"	"IMDB Score"
"The Grey "	2011	"Action|Adventure|Drama|Thriller"	"English"	"USA"	"R"	117	2.35	2.5e+07	51533608	"Joe Carnahan"	"Liam Neeson"	"Frank Grillo"	"James Badge Dale"	248	14000	798	726	16606	32000	1	203111	755	408	6.8
"The Guard "	2011	"Comedy|Crime|Thriller"	"English"	"Ireland"	"R"	96	2.35	6e+06	5359774	"John Michael McDonagh"	"Don Cheadle"	"Fionnula Flanagan"	"Wale Ojo"	51	3000	482	28	3569	17000	0	64794	131	261	7.3
"The Hangover Part II "	2011	"Comedy"	"English"	"USA"	"R"	102	2.35	8e+07	254455986	"Todd Phillips"	"Bradley Cooper"	"Mason Lee"	"Mike Tyson"	480	14000	670	461	16143	56000	0	375879	402	383	6.5
"The Harvest/La Cosecha "	2011	"Documentary"	"English"	"USA"	NA	80	NA	560000	2245	"U. Roberto Romano"	NA	NA	NA	6	NA	NA	NA	0	88	0	57	2	3	7.2
"The Help "	2011	"Drama"	"English"	"USA"	"PG-13"	146	1.85	2.5e+07	169705587	"Tate Taylor"	"Emma Stone"	"Bryce Dallas Howard"	"Mike Vogel"	150	15000	3000	2000	23227	75000	2	318955	460	373	8.1
"The Hit List "	2011	"Action|Thriller"	"English"	"USA"	"R"	90	1.85	6e+06	NA	"William Kaufman"	"Drew Waters"	"Sean Cook"	"Cole Hauser"	58	848	816	787	3469	0	1	10196	39	26	5.4
"The Ides of March "	2011	"Drama"	"English"	"USA"	"R"	101	2.35	12500000	40962534	"George Clooney"	"Ryan Gosling"	"Philip Seymour Hoffman"	"Jennifer Ehle"	0	33000	22000	1000	57077	22000	1	188652	288	421	7.1
"The Innkeepers "	2011	"Horror"	"English"	"USA"	"R"	101	2.35	750000	77501	"Ti West"	"Lena Dunham"	"Jake Ryan"	"Pat Healy"	243	969	128	74	1252	0	0	27260	247	292	5.5
"The Iron Lady "	2011	"Biography|Drama|History"	"English"	"UK"	"PG-13"	105	2.35	1.3e+07	29959436	"Phyllida Lloyd"	"Meryl Streep"	"Jim Broadbent"	"Olivia Colman"	58	11000	1000	583	12894	18000	1	82327	350	331	6.4
"The Legend of Hell's Gate: An American Conspiracy "	2011	"Action|Adventure|History|Western"	"English"	"USA"	"PG-13"	108	NA	2e+06	NA	"Tanner Beard"	"William McNamara"	"Kevin Alejandro"	"Glenn Morshower"	531	10000	1000	894	15707	651	1	583	14	2	4.4
"The Lincoln Lawyer "	2011	"Crime|Drama|Thriller"	"English"	"USA"	"R"	118	2.35	4e+07	57981889	"Brad Furman"	"Matthew McConaughey"	"Margarita Levieva"	"Frances Fisher"	65	11000	980	638	13943	25000	1	173848	203	274	7.3
"The Lion of Judah "	2011	"Animation"	"English"	"USA"	"PG"	87	1.78	1.5e+07	NA	"Deryck Broom"	"Vic Mignogna"	"Omar Benson Miller"	"Anupam Kher"	11	578	418	397	1730	381	0	458	3	7	3.7
"The Mechanic "	2011	"Action|Crime|Thriller"	"English"	"USA"	"R"	93	2.35	4e+07	29113588	"Simon West"	"Jason Statham"	"Tony Goldwyn"	"Mini Anden"	165	26000	956	350	27834	16000	0	117999	181	252	6.6
"The Muppets "	2011	"Adventure|Comedy|Family|Musical"	"English"	"USA"	"PG"	103	1.85	4.5e+07	88625922	"James Bobin"	"Bill Cobbs"	"Eric Jacobson"	"Steve Whitmire"	33	970	91	84	1336	26000	3	75176	252	398	7.1
"The Raid: Redemption "	2011	"Action|Crime|Thriller"	"Indonesian"	"Indonesia"	"R"	102	1.85	1100000	4105123	"Gareth Evans"	"Iko Uwais"	"Yayan Ruhian"	"Donny Alamsyah"	338	1000	342	60	1445	51000	0	148221	316	481	7.6
"The Ridges "	2011	"Drama|Horror|Thriller"	"English"	"USA"	NA	143	NA	17350	NA	"Brandon Landers"	"Robbie Barnes"	"Alana Kaniewski"	"Brandon Landers"	8	720	19	8	770	33	0	125	8	NA	3
"The Rite "	2011	"Drama|Horror|Mystery|Thriller"	"English"	"USA"	"PG-13"	114	2.35	3.7e+07	33037754	"Mikael Håfström"	"Anthony Hopkins"	"Colin O'Donoghue"	"Toby Jones"	101	12000	3000	2000	19904	23000	1	75864	197	267	6
"The Roommate "	2011	"Drama|Horror|Thriller"	"English"	"USA"	"PG-13"	91	2.35	1.6e+07	37300107	"Christian E. Christiansen"	"Leighton Meester"	"Danneel Ackles"	"Frances Fisher"	26	3000	1000	638	5349	0	1	29147	115	138	4.8
"The Sitter "	2011	"Comedy"	"English"	"USA"	"R"	87	1.85	NA	30538669	"David Gordon Green"	"Ari Graynor"	"J.B. Smoove"	"Kylie Bunbury"	234	904	555	370	3850	0	3	60202	114	146	5.7
"The Smurfs "	2011	"Adventure|Animation|Comedy|Family|Fantasy"	"English"	"USA"	"PG"	103	1.78	1.1e+08	142614158	"Raja Gosnell"	"Mahadeo Shivraj"	"Tim Gunn"	"Madison McKinley"	67	383	113	111	692	31000	3	66593	153	172	5.5
"The Son of No One "	2011	"Crime|Drama|Thriller"	"English"	"USA"	"R"	90	2.35	1.5e+07	28870	"Dito Montiel"	"Channing Tatum"	"Al Pacino"	"Tracy Morgan"	68	17000	14000	642	32814	0	5	14280	41	62	5.1
"The Three Musketeers "	2011	"Action|Adventure|Romance"	"English"	"Germany"	"PG-13"	110	2.35	7.5e+07	20315324	"Paul W.S. Anderson"	"Milla Jovovich"	"Logan Lerman"	"Orlando Bloom"	545	14000	8000	5000	27694	19000	8	88542	254	228	5.8
"The Tree of Life "	2011	"Drama|Fantasy"	"English"	"USA"	"PG-13"	139	1.85	3.2e+07	13303319	"Terrence Malick"	"Brad Pitt"	"Tye Sheridan"	"Fiona Shaw"	0	11000	1000	687	13021	39000	0	136367	975	584	6.7
"There Be Dragons "	2011	"Biography|Drama|War"	"English"	"Spain"	"PG-13"	102	2.35	3.6e+07	1068392	"Roland Joffé"	"Jordi Mollà"	"Dougray Scott"	"Lily Cole"	596	877	794	785	3497	2000	0	3865	53	77	5.9
"Thor "	2011	"Action|Adventure|Fantasy"	"English"	"USA"	"PG-13"	115	2.35	1.5e+08	181015141	"Kenneth Branagh"	"Chris Hemsworth"	"Natalie Portman"	"Anthony Hopkins"	0	26000	20000	12000	60059	63000	1	536314	738	516	7
"Tinker Tailor Soldier Spy "	2011	"Drama|Mystery|Thriller"	"English"	"France"	"R"	127	2.35	2e+07	24104113	"Tomas Alfredson"	"Benedict Cumberbatch"	"Colin Firth"	"Gary Oldman"	140	19000	14000	10000	46241	24000	1	149066	517	466	7.1
"Tower Heist "	2011	"Action|Comedy|Crime"	"English"	"USA"	"PG-13"	104	2.35	7.5e+07	78009155	"Brett Ratner"	"Matthew Broderick"	"Gabourey Sidibe"	"Judd Hirsch"	420	2000	906	535	3768	0	5	110073	194	236	6.2
"Transformers: Dark of the Moon "	2011	"Action|Adventure|Sci-Fi"	"English"	"USA"	"PG-13"	154	2.35	1.95e+08	352358779	"Michael Bay"	"Glenn Morshower"	"Lester Speight"	"Kevin Dunn"	0	894	829	581	2593	46000	2	326180	899	428	6.3
"Twixt "	2011	"Comedy|Fantasy|Horror|Mystery"	"English"	"USA"	"R"	88	1.85	7e+06	NA	"Francis Ford Coppola"	"Alden Ehrenreich"	"Bruce Dern"	"Joanne Whalley"	0	1000	844	507	3150	0	0	8589	70	112	4.8
"Unknown "	2011	"Action|Mystery|Thriller"	"English"	"UK"	"PG-13"	113	2.35	3e+07	61094903	"Jaume Collet-Serra"	"Liam Neeson"	"Frank Langella"	"Aidan Quinn"	174	14000	903	767	17152	29000	3	210542	332	349	6.9
"Unknown "	2011	"Action|Mystery|Thriller"	"English"	"UK"	"PG-13"	113	2.35	3e+07	61094903	"Jaume Collet-Serra"	"Liam Neeson"	"Frank Langella"	"Aidan Quinn"	174	14000	902	767	17151	29000	3	210548	332	349	6.9
"War Horse "	2011	"Drama|War"	"English"	"USA"	"PG-13"	146	2.35	6.6e+07	79883359	"Steven Spielberg"	"Jeremy Irvine"	"Benedict Cumberbatch"	"Eddie Marsan"	14000	25000	19000	979	46726	28000	1	116159	488	388	7.2
"Warrior "	2011	"Drama|Sport"	"English"	"USA"	"PG-13"	140	2.35	2.5e+07	13651662	"Gavin O'Connor"	"Tom Hardy"	"Frank Grillo"	"Kevin Dunn"	149	27000	798	581	29692	77000	1	332276	514	317	8.2
"Water for Elephants "	2011	"Drama|Romance"	"English"	"USA"	"PG-13"	120	2.35	3.8e+07	58700247	"Francis Lawrence"	"Robert Pattinson"	"Christoph Waltz"	"James Frain"	508	21000	11000	1000	36062	33000	1	95367	260	279	6.9
"We Bought a Zoo "	2011	"Comedy|Drama|Family"	"English"	"USA"	"PG"	124	1.85	NA	75621915	"Cameron Crowe"	"Scarlett Johansson"	"Matt Damon"	"Stephanie Szostak"	488	19000	13000	1000	36873	22000	3	111003	199	257	7.1
"We Have Your Husband "	2011	"Crime|Drama|Thriller"	"English"	"USA"	"TV-PG"	87	1.78	5e+06	NA	"Eric Bross"	"Teri Polo"	"Esai Morales"	"Nicholas Gonzalez"	49	708	699	601	3059	58	1	216	3	NA	5.5
"We Need to Talk About Kevin "	2011	"Drama|Thriller"	"English"	"UK"	"R"	112	2.35	7e+06	1738692	"Lynne Ramsay"	"Ezra Miller"	"Siobhan Fallon Hogan"	"Ashley Gerasimovich"	159	3000	294	77	3547	38000	0	95529	301	389	7.5
"Weekend "	2011	"Drama|Romance"	"English"	"UK"	"Not Rated"	97	1.85	120000	469947	"Andrew Haigh"	"Tom Cullen"	"Chris New"	"Vauxhall Jermaine"	131	507	75	67	654	0	0	19846	68	143	7.7
"What's Your Number? "	2011	"Comedy|Romance"	"English"	"USA"	"R"	117	1.85	2e+07	13987482	"Mark Mylod"	"Chris Evans"	"Ari Graynor"	"Ed Begley Jr."	20	11000	904	783	15713	0	1	58957	91	151	6
"Winnie Mandela "	2011	"Biography|Drama|History"	"English"	"South Africa"	"R"	104	NA	1.5e+07	NA	"Darrell Roodt"	"Jennifer Hudson"	"Wendy Crewson"	"Aubrey Poo"	36	549	248	2	801	705	2	609	15	17	6
"Winnie the Pooh "	2011	"Adventure|Animation|Comedy|Family|Musical"	"English"	"USA"	"G"	63	1.85	3e+07	26687172	"Stephen J. Anderson"	"Craig Ferguson"	"Robert Lopez"	"Huell Howser"	15	759	73	69	1002	0	0	15600	55	162	7.3
"Without Men "	2011	"Comedy"	"English"	"USA"	"R"	87	NA	4700000	NA	"Gabriela Tagliavini"	"Maria Conchita Alonso"	"Kate del Castillo"	"Camryn Manheim"	20	571	345	329	2006	491	6	1427	12	4	3.2
"X-Men: First Class "	2011	"Action|Adventure|Sci-Fi"	"English"	"USA"	"PG-13"	132	2.35	1.6e+08	146405371	"Matthew Vaughn"	"Jennifer Lawrence"	"Michael Fassbender"	"Oliver Platt"	905	34000	13000	1000	50983	54000	3	518537	698	500	7.8
"You Got Served: Beat the World "	2011	"Drama|Music"	"English"	"Canada"	"PG-13"	91	2.35	1e+07	NA	"Robert Adetuyi"	"Shane Pollard"	"Mishael Morgan"	"Chase Armitage"	8	485	152	111	964	0	0	1642	11	5	4.5
"Young Adult "	2011	"Comedy|Drama"	"English"	"USA"	"R"	94	1.85	1.2e+07	16300302	"Jason Reitman"	"Charlize Theron"	"Patton Oswalt"	"Collette Wolfe"	655	9000	786	390	10575	0	1	64682	203	325	6.3
"Your Highness "	2011	"Adventure|Comedy|Fantasy"	"English"	"USA"	"R"	102	2.35	49900000	21557240	"David Gordon Green"	"Natalie Portman"	"Zooey Deschanel"	"James Franco"	234	20000	11000	11000	45202	18000	3	85237	274	208	5.6
"Your Sister's Sister "	2011	"Comedy|Drama"	"English"	"USA"	"R"	90	NA	125000	1573712	"Lynn Shelton"	"Mark Duplass"	"Mike Birbiglia"	"Mel Eslyn"	100	830	128	9	973	3000	2	21618	62	171	6.7
"Zookeeper "	2011	"Comedy|Family|Romance"	"English"	"USA"	"PG"	102	2.35	8e+07	80360866	"Frank Coraci"	"Rosario Dawson"	"Leslie Bibb"	"Nicholas Turturro"	153	3000	1000	269	5392	0	1	44662	127	178	5.2
"2016: Obama's America "	2012	"Documentary"	"English"	"USA"	"PG"	87	1.85	2500000	33349949	"Dinesh D'Souza"	"Barack Obama"	"Zackary Steven Graham"	"Dinesh D'Souza"	67	871	118	67	1111	0	0	9010	199	30	5.1
"21 Jump Street "	2012	"Action|Comedy|Crime"	"English"	"USA"	"R"	109	2.35	4.2e+07	138447667	"Phil Lord"	"Channing Tatum"	"Dax Flame"	"Rob Riggle"	97	17000	971	839	19968	39000	2	408302	345	375	7.2
"A Perfect Plan "	2012	"Comedy|Romance"	"French"	"France"	NA	104	2.35	1.7e+07	NA	"Pascal Chaumeil"	"Dany Boon"	"Malonn Lévana"	"Alice Pol"	8	172	20	8	210	853	2	5525	11	58	6.3
"A Thousand Words "	2012	"Comedy|Drama"	"English"	"USA"	"PG-13"	91	2.35	4e+07	18438149	"Brian Robbins"	"John Gatins"	"Lou Saliba"	"Greg Collins"	48	61	46	39	222	0	8	30842	93	70	5.9
"Abraham Lincoln: Vampire Hunter "	2012	"Action|Fantasy|Horror"	"English"	"USA"	"R"	105	2.35	6.9e+07	37516013	"Timur Bekmambetov"	"Rufus Sewell"	"Dominic Cooper"	"Benjamin Walker"	335	3000	3000	911	8281	98000	0	128629	348	393	5.9
"Act of Valor "	2012	"Action|Adventure|Drama|Thriller|War"	"English"	"USA"	"R"	110	2.35	1.2e+07	70011073	"Mike McCoy"	"Alex Veadov"	"Jason Cottle"	"Rorke Denver"	16	93	17	11	146	15000	0	57996	349	216	6.5
"After "	2012	"Fantasy|Horror|Mystery|Thriller"	"English"	"USA"	"PG-13"	90	2.35	650000	NA	"Ryan Smith"	"Sandra Ellis Lafferty"	"Madison Lintz"	"Karolina Wydra"	4	523	385	258	1553	1000	0	3699	27	34	5.4
"Alex Cross "	2012	"Action|Crime|Mystery|Thriller"	"English"	"USA"	"PG-13"	101	2.35	3.5e+07	25863915	"Rob Cohen"	"Cicely Tyson"	"Chad Lindberg"	"Carmen Ejogo"	357	907	445	374	2471	11000	0	28257	151	211	5.1
"Alien Uprising "	2012	"Comedy|Sci-Fi"	"English"	"UK"	"R"	101	2.35	2500000	NA	"Dominic Burns"	"Julian Glover"	"Sean Pertwee"	"Bianca Brigitte VanDamme"	15	844	722	663	3132	0	0	2753	82	20	3.1
"American Reunion "	2012	"Comedy"	"English"	"USA"	"R"	113	1.85	5e+07	56724080	"Jon Hurwitz"	"Alyson Hannigan"	"Dania Ramirez"	"Natasha Lyonne"	22	3000	1000	1000	8398	39000	7	172112	181	291	6.7
"Amour "	2012	"Drama|Romance"	"French"	"France"	"PG-13"	127	1.85	8900000	225377	"Michael Haneke"	"Isabelle Huppert"	"Emmanuelle Riva"	"Jean-Louis Trintignant"	0	678	432	319	1557	33000	1	70382	190	447	7.9
"Anna Karenina "	2012	"Drama|Romance"	"English"	"UK"	"R"	129	2.35	NA	12802907	"Joe Wright"	"Kelly Macdonald"	"Guro Nagelhus Schia"	"Matthew Macfadyen"	456	2000	35	0	2035	36000	1	70886	226	324	6.6
"Antiviral "	2012	"Horror|Sci-Fi|Thriller"	"English"	"Canada"	"Not Rated"	108	1.85	3200000	NA	"Brandon Cronenberg"	"Sarah Gadon"	"Douglas Smith"	"Caleb Landry Jones"	43	691	480	463	1962	0	0	9356	47	188	5.7
"Arbitrage "	2012	"Drama|Thriller"	"English"	"USA"	"R"	107	1.85	1.2e+07	7918283	"Nicholas Jarecki"	"Nate Parker"	"Curtiss Cook"	"Reg E. Cathey"	27	664	591	360	2440	0	1	41574	145	288	6.6
"Archaeology of a Woman "	2012	"Drama"	"English"	"USA"	NA	94	1.78	2e+05	NA	"Sharon Greytak"	"Sally Kirkland"	"Alex Emanuel"	"Elaine Bromka"	0	433	375	178	1112	66	1	15	3	3	8.1
"Argo "	2012	"Biography|Drama|History|Thriller"	"English"	"USA"	"R"	130	2.35	44500000	136019448	"Ben Affleck"	"Clea DuVall"	"Scoot McNairy"	"Tate Donovan"	0	1000	660	650	3133	89000	1	452465	695	656	7.7
"Atlas Shrugged II: The Strike "	2012	"Drama|Mystery|Sci-Fi"	"English"	"USA"	"PG-13"	111	2.35	1e+07	3333823	"John Putch"	"Robert Picardo"	"Diedrich Bader"	"Esai Morales"	60	823	759	699	5262	0	0	5612	122	23	5.5
"Bachelorette "	2012	"Comedy|Romance"	"English"	"USA"	"R"	87	2.35	3e+06	418268	"Leslye Headland"	"Kirsten Dunst"	"Adam Scott"	"Andrew Rannells"	21	4000	3000	416	8353	0	3	37156	129	156	5.3
"Bait "	2012	"Action|Horror|Sci-Fi"	"English"	"Australia"	"R"	93	1.85	3e+07	NA	"Kimble Rendall"	"Alex Russell"	"Cariba Heine"	"Richard Brancatisano"	0	465	351	174	1361	0	1	11482	82	145	5.2
"Battleship "	2012	"Action|Adventure|Sci-Fi|Thriller"	"English"	"USA"	"PG-13"	131	2.35	2.09e+08	65173160	"Peter Berg"	"Liam Neeson"	"Alexander Skarsgård"	"Tadanobu Asano"	532	14000	10000	627	26679	44000	0	202382	751	377	5.9
"Beasts of the Southern Wild "	2012	"Drama|Fantasy"	"English"	"USA"	"PG-13"	93	1.85	1800000	12784397	"Benh Zeitlin"	"Quvenzhané Wallis"	"Gina Montana"	"Dwight Henry"	188	2000	458	168	2658	31000	0	70336	269	663	7.3
"Big Miracle "	2012	"Biography|Drama|Romance"	"English"	"USA"	"PG"	107	2.35	4e+07	20113965	"Ken Kwapis"	"Ted Danson"	"Tim Blake Nelson"	"Andrew Daly"	42	875	596	171	1702	0	3	15231	66	125	6.5
"Black November "	2012	"Action|Crime|Drama|Thriller"	"English"	"Nigeria"	NA	95	NA	7500000	NA	"Jeta Amata"	"Akon"	"Nathin Butler"	"Razaaq Adoti"	20	262	65	36	409	389	3	385	4	6	5.6
"Black Rock "	2012	"Horror|Thriller"	"English"	"USA"	"R"	83	1.85	NA	NA	"Katie Aselton"	"Katie Aselton"	"Anslem Richardson"	"Jay Paulson"	224	224	59	37	344	0	1	6531	47	95	4.7
"Blue Like Jazz "	2012	"Comedy|Drama"	"English"	"USA"	"PG-13"	108	1.85	1200000	594904	"Steve Taylor"	"Jason Marsden"	"Marshall Allman"	"Eric Lange"	14	1000	330	274	1805	0	0	2582	89	38	6
"Brave "	2012	"Adventure|Animation|Comedy|Family|Fantasy"	"English"	"USA"	"PG"	93	2.35	1.85e+08	237282182	"Mark Andrews"	"Kelly Macdonald"	"John Ratzenberger"	"Julie Walters"	56	2000	1000	838	5005	39000	0	273556	428	488	7.2
"Bullet to the Head "	2012	"Action|Thriller"	"English"	"USA"	"R"	92	1.85	5.5e+07	9483821	"Walter Hill"	"Sylvester Stallone"	"Jason Momoa"	"Jon Seda"	394	13000	11000	565	25418	10000	3	39247	131	279	5.7
"Burn "	2012	"Documentary"	"English"	"USA"	"Not Rated"	86	2.35	225000	111300	"Tom Putnam"	"Brendan Doogie Milewski"	"Donald Austin"	"Craig Dougherty"	15	2	0	0	2	801	0	575	6	22	7.5
"Casa de mi Padre "	2012	"Comedy|Western"	"Spanish"	"USA"	"R"	84	2.35	6e+06	5895238	"Matt Piedmont"	"Will Ferrell"	"Adrian Martinez"	"Luis E. Carazo"	4	8000	806	546	10123	9000	1	17169	70	133	5.5
"Celeste & Jesse Forever "	2012	"Comedy|Drama|Romance"	"English"	"USA"	"R"	92	2.35	NA	3094687	"Lee Toland Krieger"	"Ari Graynor"	"Janel Parrish"	"Rob Huebel"	43	904	517	172	1751	0	2	24391	61	193	6.7
"Chasing Mavericks "	2012	"Biography|Drama|Sport"	"English"	"USA"	"PG"	116	1.85	2e+07	6002756	"Michael Apted"	"Gerard Butler"	"Abigail Spencer"	"Leven Rambin"	150	18000	1000	956	21200	13000	2	24997	75	116	7.2
"Chernobyl Diaries "	2012	"Horror|Mystery|Sci-Fi|Thriller"	"English"	"USA"	"R"	86	1.85	1e+06	18112929	"Bradley Parker"	"Jesse McCartney"	"Ingrid Bolsø Berdal"	"Jonathan Sadowski"	18	1000	466	300	2665	24000	0	52642	271	270	5
"Chronicle "	2012	"Drama|Sci-Fi|Thriller"	"English"	"USA"	"PG-13"	89	1.85	1.2e+07	64572496	"Josh Trank"	"Michael Kelly"	"Alex Russell"	"Ashley Hinshaw"	128	963	465	371	2054	32000	0	204327	471	414	7.1
"Cirque du Soleil: Worlds Away "	2012	"Fantasy"	"English"	"USA"	"PG"	91	NA	NA	12495865	"Andrew Adamson"	"Dallas Barnett"	"Erica Linz"	"Igor Zaripov"	80	473	31	31	539	0	0	7100	35	73	6.8
"Cloud Atlas "	2012	"Drama|Sci-Fi"	"English"	"Germany"	"R"	172	2.35	1.02e+08	27098580	"Tom Tykwer"	"Tom Hanks"	"Jim Sturgess"	"Jim Broadbent"	670	15000	5000	1000	22686	124000	5	284825	828	511	7.5
"Compliance "	2012	"Biography|Crime|Drama|Thriller"	"English"	"USA"	"R"	90	2.35	270000	318622	"Craig Zobel"	"Dreama Walker"	"Matt Servitto"	"James McCaffrey"	25	601	260	235	1734	0	0	24668	175	286	6.4
"Contraband "	2012	"Action|Crime|Drama|Thriller"	"English"	"USA"	"R"	109	2.35	2.5e+07	66489425	"Baltasar Kormákur"	"J.K. Simmons"	"David O'Hara"	"Lukas Haas"	175	24000	736	733	26625	0	3	101977	161	270	6.5
"Crowsnest "	2012	"Action|Horror|Mystery|Thriller"	"English"	"Canada"	"R"	84	NA	1200000	NA	"Brenton Spencer"	"Christie Burke"	"Victor Zinck Jr."	"Chelsey Reist"	0	380	91	63	630	238	0	1321	51	22	3.8
"Dark Shadows "	2012	"Comedy|Fantasy|Horror"	"English"	"USA"	"PG-13"	113	1.85	1e+08	79711678	"Tim Burton"	"Johnny Depp"	"Chloë Grace Moretz"	"Christopher Lee"	13000	40000	17000	16000	80849	82000	7	199039	479	526	6.2
"Darling Companion "	2012	"Comedy|Drama|Romance"	"English"	"USA"	"PG-13"	103	2.35	NA	793352	"Lawrence Kasdan"	"Dianne Wiest"	"Mark Duplass"	"Sam Shepard"	759	967	830	820	3878	0	1	2551	25	57	5.1
"Day One "	2012	"Biography|Drama|Music"	"English"	"USA"	"PG-13"	102	NA	3400000	NA	"Nathan Frankowski"	"Corbin Bleu"	"Rus Blackwell"	"Luis Antonio"	19	632	144	80	1011	0	7	2116	13	17	6.6
"Deadfall "	2012	"Crime|Drama|Thriller"	"English"	"USA"	"R"	95	2.35	1.2e+07	65804	"Stefan Ruzowitzky"	"Charlie Hunnam"	"Olivia Wilde"	"Sissy Spacek"	24	16000	10000	874	27575	0	1	32512	86	162	6.3
"Deceptive Practice: The Mysteries and Mentors of Ricky Jay "	2012	"Documentary"	"English"	"USA"	NA	88	NA	5e+05	151389	"Molly Bernstein"	"David Mamet"	"Ricky Jay"	"Dick Cavett"	0	342	79	49	483	590	0	774	7	39	7.1
"Detention of the Dead "	2012	"Comedy|Horror"	"English"	"USA"	"Not Rated"	87	2.35	5e+05	1332	"Alex Craig Mann"	"Justin Chon"	"Christa B. Allen"	"Max Adler"	38	552	533	445	2251	898	6	2038	20	29	4.6
"Diary of a Wimpy Kid: Dog Days "	2012	"Comedy|Family"	"English"	"USA"	"PG"	94	2.35	2.2e+07	49002815	"David Bowers"	"Zachary Gordon"	"Rachael Harris"	"Karan Brar"	42	975	569	517	3153	0	2	15665	35	88	6.4
"Django Unchained "	2012	"Drama|Western"	"English"	"USA"	"R"	165	2.35	1e+08	162804648	"Quentin Tarantino"	"Leonardo DiCaprio"	"Christoph Waltz"	"Ato Essandoh"	16000	29000	11000	265	40978	199000	1	955174	1193	765	8.5
"Dredd "	2012	"Action|Sci-Fi"	"English"	"UK"	"R"	95	2.35	3.5e+07	13401683	"Pete Travis"	"Wood Harris"	"Jason Cope"	"Rakie Ayola"	38	409	107	20	578	46000	0	203458	588	432	7.1
"Dredd "	2012	"Action|Sci-Fi"	"English"	"UK"	"R"	95	2.35	3.5e+07	13401683	"Pete Travis"	"Wood Harris"	"Jason Cope"	"Rakie Ayola"	38	409	107	20	578	46000	0	203461	588	432	7.1
"Dysfunctional Friends "	2012	"Comedy|Drama"	"English"	"USA"	"Not Rated"	111	1.85	1800000	NA	"Corey Grant"	"Christian Keyes"	"Essence Atkins"	"Tatyana Ali"	21	761	713	685	4306	569	13	686	8	4	5.4
"Eddie: The Sleepwalking Cannibal "	2012	"Comedy|Horror"	"English"	"Canada"	"Not Rated"	83	NA	1500000	1521	"Boris Rodriguez"	"Stephen McHattie"	"Thure Lindhardt"	"Georgina Reilly"	5	413	197	98	843	932	0	1231	10	56	5.7
"End of Watch "	2012	"Crime|Drama|Thriller"	"English"	"USA"	"R"	109	1.85	7e+06	40983001	"David Ayer"	"Jake Gyllenhaal"	"Anna Kendrick"	"America Ferrera"	453	15000	10000	953	27788	38000	2	181025	336	355	7.7
"Ernest & Celestine "	2012	"Animation|Comedy|Crime|Drama|Family"	"French"	"France"	"PG"	80	1.85	9600000	71442	"Stéphane Aubier"	"Mackenzie Foy"	"Megan Mullally"	"Lambert Wilson"	2	6000	637	186	6829	0	0	12029	32	99	7.9
"Filly Brown "	2012	"Drama|Music"	"English"	"USA"	"R"	80	2.35	427000	2833383	"Youssef Delara"	"Noel Gugliemi"	"Jenni Rivera"	"Jorge Diaz"	8	2000	245	183	2459	0	1	910	11	16	5.7
"Flight "	2012	"Drama|Thriller"	"English"	"USA"	"R"	138	2.35	3.1e+07	93749203	"Robert Zemeckis"	"Denzel Washington"	"Bruce Greenwood"	"Nadine Velazquez"	0	18000	984	874	20952	64000	0	264047	491	449	7.3
"Foodfight! "	2012	"Action|Animation|Comedy|Family|Fantasy"	"English"	"USA"	"PG"	91	NA	6.5e+07	NA	"Lawrence Kasanoff"	"Jerry Stiller"	"Larry Miller"	"Harvey Fierstein"	11	719	611	500	3090	0	0	4377	66	12	1.7
"For a Good Time, Call... "	2012	"Comedy"	"English"	"USA"	"R"	88	2.35	850000	1243961	"Jamie Travis"	"James Wolk"	"Ari Graynor"	"Nia Vardalos"	15	938	904	567	3770	0	0	13421	34	115	6
"For Greater Glory: The True Story of Cristiada "	2012	"Drama|History|War"	"Spanish"	"Mexico"	"R"	145	2.35	10818775	5669081	"Dean Wright"	"Santiago Cabrera"	"Eduardo Verástegui"	"Catalina Sandino Moreno"	0	639	377	280	1807	0	1	3665	57	43	6.6
"Frances Ha "	2012	"Comedy|Drama|Romance"	"English"	"USA"	"R"	86	1.85	NA	4063238	"Noah Baumbach"	"Greta Gerwig"	"Grace Gummer"	"Vanessa Ray"	387	962	481	270	2260	11000	0	43982	139	345	7.4
"Frankenweenie "	2012	"Animation|Comedy|Family|Horror|Sci-Fi"	"English"	"USA"	"PG"	87	1.85	3.9e+07	35287788	"Tim Burton"	"Martin Landau"	"Catherine O'Hara"	"Atticus Shaffer"	13000	940	925	787	4774	25000	0	73886	165	370	7
"Freaky Deaky "	2012	"Comedy|Crime|Thriller"	"English"	"USA"	"R"	90	NA	6e+06	NA	"Charles Matthau"	"Billy Burke"	"Michael Jai White"	"Bill Duke"	139	2000	2000	1000	6569	0	0	6741	11	13	6.5
"Fun Size "	2012	"Adventure|Comedy"	"English"	"USA"	"PG-13"	86	2.35	1.4e+07	9402410	"Josh Schwartz"	"Thomas McDonell"	"Jackson Nicoll"	"Osric Chau"	90	962	925	635	3715	0	1	11233	32	77	5.4
